Date,Open,High,Low,Close,Adj Close,Volume
2018-10-22,7486.740234,7520.540039,7424.740234,7468.629883,7468.629883,2282400000
2018-10-23,7328.549805,7472.580078,7260.129883,7437.540039,7437.540039,2735820000
2018-10-24,7423.209961,7435.689941,7099.000000,7108.399902,7108.399902,2935550000
2018-10-25,7197.490234,7364.819824,7178.540039,7318.339844,7318.339844,2741810000
2018-10-26,7125.180176,7283.319824,7057.000000,7167.209961,7167.209961,2964780000
2018-10-29,7272.419922,7295.609863,6922.830078,7050.290039,7050.290039,2689550000
2018-10-30,7017.870117,7166.839844,7001.479980,7161.649902,7161.649902,2681310000
2018-10-31,7276.620117,7368.490234,7270.629883,7305.899902,7305.899902,2899730000
2018-11-01,7327.819824,7435.879883,7286.500000,7434.060059,7434.060059,2708880000
2018-11-02,7424.020020,7466.529785,7298.680176,7356.990234,7356.990234,2889910000
2018-11-05,7344.080078,7349.229980,7255.879883,7328.850098,7328.850098,2166470000
2018-11-06,7326.069824,7400.640137,7320.890137,7375.959961,7375.959961,2285680000
2018-11-07,7446.089844,7572.930176,7435.870117,7570.750000,7570.750000,2677530000
2018-11-08,7544.169922,7566.930176,7499.709961,7530.879883,7530.879883,2462430000
2018-11-09,7468.509766,7474.339844,7349.479980,7406.899902,7406.899902,2418490000
2018-11-12,7364.049805,7371.089844,7193.770020,7200.870117,7200.870117,2283070000
2018-11-13,7230.689941,7319.120117,7182.859863,7200.870117,7200.870117,2343940000
2018-11-14,7265.390137,7285.569824,7101.169922,7136.390137,7136.390137,2540220000
2018-11-15,7112.830078,7274.259766,7072.359863,7259.029785,7259.029785,2508720000
2018-11-16,7193.600098,7274.859863,7171.700195,7247.870117,7247.870117,2438260000
2018-11-19,7217.240234,7224.120117,7011.399902,7028.479980,7028.479980,2354020000
2018-11-20,6867.430176,6994.750000,6830.759766,6908.819824,6908.819824,2664950000
